Date,Tencent,CKLife,Waison,Cowell,quantity,asset,trade_value,portfolio_value
2018-08-29,360.8,0.51,4.05,1.32,,,,88753.01
2018-08-30,357.4,0.5,3.95,1.29,,,,87515.18
2018-08-31,340.0,0.5,3.96,1.32,,,,85103.18
2018-09-03,332.8,0.5,4.0,1.32,,,,84011.18
2018-09-04,338.6,0.5,4.06,1.36,,,,85505.18
2018-09-05,324.8,0.5,4.05,1.33,,,,82925.18
2018-09-06,314.6,0.495,4.08,1.3,,,,80887.76499999998
2018-09-07,316.8,0.51,4.02,1.3,,,,81430.01
2018-09-10,313.6,0.49,3.9,1.23,,,,79531.34999999999
2018-09-11,308.0,0.49,3.99,1.16,,,,77937.34999999999
2018-09-12,308.4,0.475,3.99,1.16,,,,77721.105
2018-09-13,323.8,0.485,4.15,1.2,,,,81087.935
2018-09-14,330.0,0.475,4.16,1.18,,,,81670.105
2018-09-17,319.2,0.48,4.01,1.15,,,,79453.51999999999
2018-09-18,318.0,0.475,4.2,1.18,,,,79810.105
2018-09-19,321.6,0.495,4.21,1.19,,,,80893.76499999998
2018-09-20,324.2,0.485,4.17,1.19,,,,81062.935
2018-09-21,334.4,0.48,4.2,1.21,,,,82884.51999999999
2018-09-24,327.8,0.475,4.18,1.19,,,,81467.105
2018-09-26,330.0,0.485,4.18,1.18,,,,81886.935
2018-09-27,325.4,0.48,4.26,1.16,,,,80939.51999999999
2018-09-28,323.2,0.48,3.96,1.18,,,,80375.51999999999
2018-10-02,317.0,0.475,3.88,1.14,,,,78694.105
2018-10-03,316.0,0.475,3.81,1.13,,,,78310.105
2018-10-04,308.4,0.475,3.78,1.14,,,,77168.105
2018-10-05,305.0,0.47,3.85,1.1,,,,76159.69
2018-10-08,299.0,0.465,3.88,1.07,,,,74794.275
2018-10-09,293.8,0.46,3.89,1.03,,,,73407.85999999999
2018-10-10,286.4,0.445,3.86,0.99,,,,71422.61499999999
2018-10-11,267.0,0.42,3.66,0.89,,,,66361.54
2018-10-12,288.4,0.42,3.75,0.92,,,,70277.54
2018-10-15,282.8,0.42,3.75,0.84,24540.0,Cowell,20613.6,68429.54
2018-10-16,281.4,0.41,3.66,0.86,,,,68612.51
2018-10-18,281.0,0.41,3.66,0.9,,,,70006.11
2018-10-19,282.0,0.41,3.58,0.93,,,,71139.31000000001
2018-10-22,291.2,0.42,3.85,0.95,,,,73931.94
