,tencent,cklife,waison,cowell,quantity,asset,trade_value,portfolio_value
2018-12-03,324.8,0.375,4.17,0.99,,,,80504.28
2018-12-04,328.4,0.385,4.3,1.09,,,,83146.48
2018-12-05,321.0,0.39,4.18,1.1,,,,81848.3
2018-12-06,304.2,0.38,4.15,1.05,,,,77705.35
2018-12-07,310.6,0.38,4.06,1.01,,,,78113.87000000001
2018-12-10,308.0,0.38,3.94,1.03,,,,77857.41
2018-12-11,311.2,0.38,3.87,1.02,,,,78212.84
2018-12-12,316.8,0.38,3.86,1.04,,,,79607.98
2018-12-13,318.6,0.385,3.82,1.02,,,,79590.89
2018-12-14,308.8,0.38,3.78,0.99,,,,77143.13
2018-12-17,308.8,0.385,3.9,0.97,,,,76947.64
2018-12-18,302.8,0.375,3.92,0.96,,,,75589.77
2018-12-19,303.0,0.375,3.86,0.96,,,,75567.37000000001
2018-12-20,301.6,0.375,3.86,0.94,-163.0,waison,-629.18,74951.83
2018-12-21,315.2,0.37,3.86,0.92,,,,77119.44
2018-12-24,310.6,0.37,3.82,0.92,,,,76221.16
2018-12-27,309.6,0.355,3.75,0.9,,,,75511.68
2018-12-28,310.0,0.36,3.7,0.92,,,,75934.22
2018-12-31,314.0,0.365,3.81,0.93,,,,76991.31
2019-01-02,306.6,0.355,3.75,0.91,,,,75123.84999999999
2019-01-03,305.0,0.375,3.7,0.88,,,,74400.09
2019-01-04,310.6,0.38,3.8,0.85,,,,75044.93
2019-01-07,317.6,0.385,3.85,0.89,,,,77144.31
2019-01-08,315.6,0.395,3.78,0.91,,,,77135.76
2019-01-09,327.6,0.395,3.83,0.95,,,,80138.29
2019-01-10,329.0,0.395,3.83,0.93,,,,80049.15
2019-01-11,331.2,0.4,3.86,0.92,,,,80348.54
2019-01-14,321.8,0.415,3.78,0.92,,,,78624.93
2019-01-15,330.0,0.435,3.8,0.92,,,,80330.67
2019-01-16,331.0,0.43,3.9,0.94,,,,80917.85999999999
2019-01-17,331.2,0.415,3.9,0.92,,,,80492.56999999999
2019-01-18,337.0,0.415,3.9,0.92,,,,81582.97
2019-01-21,340.0,0.42,3.86,0.93,,,,82326.51
2019-01-22,335.8,0.41,3.92,0.92,,,,81337.26
2019-01-23,333.2,0.41,4.0,0.9,,,,80563.08
2019-01-24,330.2,0.42,4.1,0.93,,,,80684.98999999999
2019-01-25,343.8,0.425,4.09,1.01,,,,84679.62999999999
2019-01-28,341.6,0.425,4.15,1.0,,,,84140.08
2019-01-29,342.4,0.415,4.15,1.12,,,,86330.81999999999
2019-01-30,344.2,0.42,4.09,1.07,,,,85775.0
2019-01-31,346.0,0.42,4.11,1.09,,,,86482.48
2019-02-01,348.0,0.415,4.06,1.04,,,,85898.93000000001
2019-02-04,347.6,0.42,4.13,1.05,,,,86095.34
2019-02-08,345.6,0.425,4.19,1.09,,,,86511.09
2019-02-11,352.0,0.42,4.16,1.2,,,,89590.19999999998
2019-02-12,351.4,0.42,4.1,1.18,,,,89074.83999999998
2019-02-13,347.8,0.43,4.2,1.4,,,,92431.18
2019-02-14,341.8,0.43,4.17,1.36,,,,90573.39
2019-02-15,333.8,0.42,4.3,1.31,,,,88223.65000000001
2019-02-18,339.8,0.42,4.12,1.35,,,,89905.67
2019-02-19,336.8,0.415,4.05,1.31,,,,88541.55
2019-02-20,341.0,0.425,4.05,1.33,,,,89757.19
2019-02-21,343.2,0.42,4.05,1.36,,,,90662.45
2019-02-22,344.0,0.425,4.05,1.57,,,,94549.27
2019-02-25,343.8,0.435,3.99,1.6,,,,95063.66
2019-02-26,343.0,0.43,3.96,1.51,,,,93265.77
2019-02-27,340.2,0.43,3.9,1.43,,,,91279.79
2019-02-28,335.8,0.46,3.83,1.43,,,,90615.1
2019-03-01,336.2,0.46,3.85,1.48,,,,91587.89
2019-03-04,346.8,0.49,3.93,1.5,,,,94221.09
2019-03-05,361.4,0.48,3.98,1.52,,,,97286.37999999999
2019-03-06,362.0,0.475,3.96,1.54,,,,97697.93000000001
2019-03-07,355.2,0.5,4.0,1.48,,,,95580.23999999999
2019-03-08,347.0,0.485,3.98,1.41,,,,92678.15999999999
2019-03-11,354.8,0.49,3.87,1.44,,,,94617.85
2019-03-12,361.0,0.495,4.04,1.5,,,,97019.60999999999
2019-03-13,358.4,0.49,4.18,1.48,,,,96258.8
2019-03-14,357.6,0.485,4.22,1.43,,,,95224.18
2019-03-15,359.0,0.48,4.31,1.43,,,,95525.86
2019-03-18,368.8,0.48,4.32,1.46,,,,97905.14
2019-03-19,370.0,0.47,4.33,1.42,,,,97360.73
2019-03-20,370.0,0.45,4.3,1.41,,,,97012.05
2019-03-21,363.0,0.44,4.18,1.39,,,,95169.56999999999
2019-03-22,365.0,0.445,4.26,1.41,,,,96001.71999999999
2019-03-25,353.8,0.445,4.18,1.44,,,,94357.67
2019-03-26,351.4,0.445,4.2,1.43,,,,93747.03999999998
2019-03-27,354.6,0.445,4.14,1.44,,,,94474.58999999998
2019-03-28,354.0,0.45,4.19,1.4,,,,93735.81
2019-03-29,361.0,0.445,4.11,1.43,,,,95476.51
2019-04-01,365.0,0.45,4.03,1.46,,,,96726.90999999999
2019-04-02,366.0,0.455,4.03,1.69,,,,101003.67
2019-04-03,378.0,0.445,4.18,1.69,,,,103311.51999999999
2019-04-04,376.0,0.44,4.11,1.66,,,,102311.57
2019-04-08,380.2,0.445,4.19,1.71,,,,104085.82999999997
2019-04-09,383.6,0.45,4.15,1.78,,,,105961.59000000001
2019-04-10,388.8,0.45,4.13,1.79,,,,107098.62000000001
2019-04-11,391.4,0.455,4.08,1.73,-100.0,tencent,-39140.0,106525.4
2019-04-12,393.8,0.45,4.06,1.74,,,,106859.18
2019-04-15,388.2,0.45,4.03,1.71,,,,105812.76000000001
2019-04-16,393.6,0.465,4.04,1.73,,,,106759.22
2019-04-17,395.6,0.47,4.1,1.79,,,,108079.31
2019-04-18,391.6,0.47,4.05,1.84,,,,108566.31
2019-04-23,393.0,0.465,4.05,1.84,,,,108652.66
2019-04-24,393.0,0.455,4.05,1.85,,,,108755.13
2019-04-25,382.8,0.45,4.0,1.75,,,,106017.13
2019-04-26,384.0,0.45,3.97,1.76,,,,106273.79000000001
2019-04-29,390.6,0.455,3.97,1.74,,,,106539.1
